district,latitude,longitude
Central & Western,22.2833,114.1500
Yau Tsim Mong,22.3116,114.1707
Yuen Long,22.4446,114.0222
Wan Chai,22.2763,114.1826
Southern,22.2432,114.1974
Eastern,22.2734,114.2361
Kowloon City,22.3232,114.1856
Kwai Tsing,22.3549,114.1261
North,22.5009,114.1558
Sha Tin,22.3864,114.2093
Sham Shui Po,22.3321,114.1469
Sai Kung,22.3834,114.2710
Tai Po,22.4423,114.1655
Tsuen Wan,22.3713,114.1142
Tuen Mun,22.3908,113.9725
Wong Tai Sin,22.3548,114.1974
Kwun Tong,22.3157,114.2331
Islands,22.26279,113.96554
